,RandomID,Seqplates
0,20643,6_F7
1,20643,6_G11
2,23595,3_H7
3,26244,24_A8
4,26666,5_D3
5,26898,3_H10
6,27220,3_G7
7,27674,14_B10
8,28250,10_D5
9,30478,22_G1
10,30711,9_A12
11,45988,9_D6
12,47393,3_E6
13,48115,3_B4
14,48115,24_D7
15,48875,3_C10
16,52477,20_F10
17,53057,3_F4
18,53057,3_F8
19,53114,3_B12
20,53837,1_H1
21,58166,4_D11
22,58166,22_D10
23,60192,4_H9
24,60192,4_H8
25,61108,4_A8
26,61108,19_D12
27,62599,4_F7
28,66903,7_H3
29,67469,6_B11
30,71092,4_F12
31,71809,4_A6
32,71816,4_B1
33,77712,3_E7
34,77712,3_C9
35,79808,4_F9
36,80130,4_C11
37,80130,4_C10
38,80130,25_B11
39,91317,4_F2
40,91317,4_G4
41,94840,1_B2
42,95565,23_B2
43,101532,4_C9
44,102428,13_G7
45,103295,17_F8
46,103295,22_A11
47,104704,2_H8
48,111542,5_B5
49,113942,4_F4
50,113942,24_B10
51,115940,22_G5
52,118241,20_A7
53,118456,23_B4
54,119803,13_H6
55,122026,10_F6
56,122026,16_C6
57,127184,8_F12
58,139527,3_D1
59,141702,25_D5
60,154714,19_C1
61,154714,20_C3
62,156894,4_G3
63,156894,4_G9
64,156894,23_C3
65,157857,4_B12
66,158970,2_E6
67,159300,12_G2
68,171794,1_A1
69,171794,1_F2
70,172790,4_G11
71,177268,4_D4
72,179270,4_F3
73,179270,4_B6
74,183731,17_F12
75,184625,22_B5
76,186315,23_C11
77,188094,4_H2
78,191175,10_D6
79,192239,15_G6
80,192510,13_F12
81,200830,21_D4
82,201316,4_H7
83,201316,4_D12
84,202133,4_H5
85,211274,13_B6
86,211594,3_D12
87,223440,4_B7
88,223440,4_C7
89,223440,4_H10
90,226430,7_C7
91,226430,3_D5
92,226430,3_D11
93,226430,3_F3
94,226430,3_F6
95,235659,10_D3
96,245199,21_H4
97,245199,22_A10
98,246569,18_D2
99,248874,1_D11
100,248874,11_D7
101,249666,22_B8
102,250529,5_A4
103,254221,1_C8
104,257784,18_G7
105,278267,21_A5
106,285862,21_H6
107,287818,1_F9
108,288892,17_C8
109,297145,17_D9
110,301893,19_B11
111,305040,18_C4
112,310119,9_D7
113,313373,1_B3
114,327958,21_C4
115,374469,16_F7
116,378467,25_B8
117,382652,20_G3
118,383664,18_A9
119,384689,9_G1
120,390453,11_G9
121,391000,22_F9
122,418578,12_G10
123,438692,20_F4
124,442639,15_F3
125,445473,15_C2
126,462262,8_D6
127,483045,1_H11
128,486488,21_A9
129,494040,22_H11
130,528048,25_G1
131,552878,1_B12
132,571715,16_B9
133,572787,22_C10
134,573777,9_A2
135,575092,20_H6
136,576959,22_H7
137,583250,24_A4
138,587842,25_C11
139,606367,19_B7
140,614685,14_F11
141,625655,10_B6
142,633714,9_B2
143,637880,23_A3
144,657910,14_F5
145,658231,14_G9
146,660509,19_B6
147,663371,22_G2
148,666726,1_D3
149,666726,3_B2
150,666726,3_E8
151,678285,13_B5
152,680220,12_E6
153,693784,2_E9
154,695817,10_E4
155,702167,23_C5
156,703837,9_E2
157,705522,10_E8
158,708748,21_C7
159,710786,15_F7
160,717265,20_D5
161,732705,22_H9
162,734032,7_A9
163,734032,11_G6
164,740035,24_D2
165,744871,15_D1
166,760326,19_B1
167,764579,7_B9
168,766867,25_H1
169,771699,2_A8
170,775245,1_F3
171,776771,10_C2
172,784957,19_G4
173,788344,9_A3
174,790623,12_B11
175,797100,9_G8
176,805515,21_G10
177,807728,9_B3
178,812440,22_A6
179,818825,18_A11
180,836343,9_C3
181,838912,9_D3
182,839196,7_H9
183,839851,15_B11
184,844144,23_H5
185,844239,20_A6
186,844409,14_B2
187,847937,16_D7
188,848960,19_A1
189,848960,23_B3
190,858455,16_A11
191,861222,12_H6
192,865203,22_B6
193,869584,20_C10
194,870935,7_D10
195,873172,14_G12
196,874086,24_G1
197,876875,18_F10
198,882818,18_G5
199,882908,15_B9
200,882908,14_H8
201,885045,7_G10
202,890126,14_C11
203,890397,6_E1
204,896162,9_D8
205,896416,12_G1
206,904499,25_H6
207,905738,22_D2
208,909063,11_H9
209,916541,1_C4
210,918791,10_C6
211,919413,16_C12
212,938322,3_G3
213,938675,18_G2
214,940560,10_B10
215,943536,10_E3
216,947305,16_B10
217,947986,22_F2
218,952021,16_H3
219,952624,6_B8
220,957751,21_D10
221,964087,25_G6
222,969696,15_C11
223,972102,10_G4
224,972102,14_H7
225,981553,23_F2
226,991830,20_G8
227,994880,1_G10
228,995713,20_G5
229,997092,13_H9
230,999991,25_B2
231,1001239,20_H3
232,1023623,23_B12
233,1023623,21_H7
234,1025262,5_A6
235,1040782,17_G8
236,1051011,13_D7
237,1051011,25_A9
238,1057916,10_D7
239,1057916,25_G5
240,1057916,19_H9
241,1058016,19_H10
242,1068752,9_C1
243,1068852,6_B5
244,1069438,22_G3
245,1076381,17_C11
246,1077637,21_C1
247,1090247,22_D12
248,1105088,14_G11
249,1106389,21_G4
250,1151792,24_D6
251,1158512,20_H2
252,1169048,23_C4
253,1171400,1_D12
254,1189952,5_C5
255,1189952,5_C6
256,1197831,15_C10
257,1198143,22_H2
258,1200347,21_G7
259,1200347,22_D1
260,1200992,13_E1
261,1202239,19_F1
262,1202681,12_E4
263,1207104,17_A4
264,1209979,19_H1
265,1218949,1_C5
266,1221652,15_A11
267,1226836,16_B3
268,1228738,13_D5
269,1231356,10_D4
270,1235273,18_F8
271,1242100,5_A10
272,1246293,21_G1
273,1246529,7_B1
274,1246916,22_F10
275,1251959,5_A8
276,1253026,19_C9
277,1299999,12_F11
278,1305530,6_H9
279,1308541,16_C5
280,1308541,20_A1
281,1323397,24_A3
282,1327418,15_A7
283,1330197,23_F8
284,1330197,23_D6
285,1338167,10_H8
286,1341773,17_D12
287,1342574,5_B10
288,1346727,9_B4
289,1349786,25_C7
290,1351410,12_B7
291,1351410,17_D8
292,1351410,22_D11
293,1359163,12_H1
294,1359304,24_H5
295,1360545,10_C9
296,1368133,17_A8
297,1369693,9_C4
298,1370445,1_G9
299,1395672,2_C12
300,1400706,9_H10
301,1407579,13_F10
302,1407579,18_D8
303,1426483,21_F3
304,1428801,17_F5
305,1428801,18_D3
306,1479429,18_F5
307,1486186,9_D4
308,1504727,2_B6
309,1509130,23_A7
310,1510654,23_G7
311,1513624,15_H2
312,1515529,2_A7
313,1515529,3_E4
314,1527306,12_B12
315,1545501,8_A1
316,1606519,22_F8
317,1630468,9_G9
318,1646739,19_A3
319,1679479,18_F2
320,1684530,7_G3
321,1694137,20_D12
322,1696731,25_A1
323,1698358,9_H9
324,1701972,7_C4
325,1703799,9_B7
326,1733826,15_H1
327,1733826,19_C10
328,1758904,22_G8
329,1760318,6_D3
330,1771888,2_B10
331,1776474,13_F1
332,1776474,13_C9
333,1776474,15_A3
334,1782270,20_F6
335,1788457,16_F5
336,1789292,16_A4
337,1794020,16_B6
338,1796584,11_D11
339,1818500,8_F9
340,1819568,25_D12
341,1820489,25_D2
342,1837933,9_F4
343,1844098,8_G12
344,1853180,1_B10
345,1855818,14_A11
346,1860738,1_C10
347,1863990,7_C1
348,1864563,22_B9
349,1886229,14_A3
350,1887522,12_H7
351,1897215,12_A10
352,1897215,14_C5
353,1901096,9_E7
354,1901100,9_A5
355,1905256,1_E5
356,1907609,22_H10
357,1911158,8_B2
358,1911387,8_D2
359,1913022,19_D5
360,1914718,8_F2
361,1916921,8_H2
362,1916922,9_B5
363,1916922,24_G7
364,1923315,22_A12
365,1932051,16_B4
366,1934106,19_C12
367,1934732,22_C11
368,1945859,22_G10
369,1951961,18_A8
370,1956237,8_C3
371,1961011,12_C7
372,1964093,12_A2
373,1975636,25_D4
374,1988382,10_H6
375,1997225,14_F10
376,2005258,22_F6
377,2016070,3_A12
378,2016772,10_E1
379,2018335,10_G6
380,2018743,19_C6
381,2018743,18_B2
382,2021047,17_G11
383,2022807,22_G9
384,2027986,13_B1
385,2028611,12_C3
386,2030659,25_A4
387,2034834,24_C7
388,2037217,10_A9
389,2040184,15_D6
390,2042850,22_D8
391,2045097,25_C6
392,2049718,8_E3
393,2056204,5_B7
394,2056204,5_B8
395,2061284,10_E5
396,2067247,17_D11
397,2076818,22_F1
398,2088752,22_B12
399,2101440,22_F11
400,2108467,18_D4
401,2110294,5_B3
402,2111023,25_G12
403,2114373,9_E5
404,2117455,16_D11
405,2123381,21_D5
406,2124642,12_D10
407,2148319,14_B5
408,2156698,8_G3
409,2156698,12_D2
410,2156698,15_D12
411,2156698,25_C10
412,2160325,16_G12
413,2164621,15_D8
414,2164621,20_A8
415,2169768,20_A3
416,2177398,19_C8
417,2193623,9_G5
418,2201371,23_D3
419,2205530,17_C6
420,2205935,20_C9
421,2230349,17_F3
422,2255876,21_C2
423,2255876,22_C3
424,2264025,25_H5
425,2264025,24_B11
426,2268421,9_H5
427,2269344,14_D10
428,2279361,22_F12
429,2281873,15_H9
430,2292095,9_C10
431,2292864,16_B12
432,2293971,20_B10
