locus_tag	ftype	length_bp	gene	EC_number	COG	product
Sample_Maccabi_Ecoli_SeqPlate10_A3_00001	tRNA	76				tRNA-Met(cat)
Sample_Maccabi_Ecoli_SeqPlate10_A3_00002	CDS	2253				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00003	CDS	978	glaH	1.14.11.-		Glutarate 2-hydroxylase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00004	CDS	1269	lhgD	1.1.5.-	COG0579	L-2-hydroxyglutarate dehydrogenase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00005	CDS	1449	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
Sample_Maccabi_Ecoli_SeqPlate10_A3_00006	CDS	1281	gabT	2.6.1.19	COG0160	4-aminobutyrate aminotransferase GabT
Sample_Maccabi_Ecoli_SeqPlate10_A3_00007	CDS	1401	gabP		COG1113	GABA permease
Sample_Maccabi_Ecoli_SeqPlate10_A3_00008	CDS	663	glaR		COG1802	HTH-type transcriptional repressor GlaR
Sample_Maccabi_Ecoli_SeqPlate10_A3_00009	CDS	450	kbp		COG1652	Potassium binding protein Kbp
Sample_Maccabi_Ecoli_SeqPlate10_A3_00010	CDS	159				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00011	CDS	300	ygaV_1		COG0640	putative HTH-type transcriptional regulator YgaV
Sample_Maccabi_Ecoli_SeqPlate10_A3_00012	CDS	525	ygaP		COG0607	Inner membrane protein YgaP
Sample_Maccabi_Ecoli_SeqPlate10_A3_00013	CDS	405	stpA		COG2916	DNA-binding protein StpA
Sample_Maccabi_Ecoli_SeqPlate10_A3_00014	CDS	450	alaE			L-alanine exporter AlaE
Sample_Maccabi_Ecoli_SeqPlate10_A3_00015	CDS	345				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00016	CDS	330	ygaM		COG4575	putative protein YgaM
Sample_Maccabi_Ecoli_SeqPlate10_A3_00017	CDS	1335	gabR		COG1167	HTH-type transcriptional regulatory protein GabR
Sample_Maccabi_Ecoli_SeqPlate10_A3_00018	CDS	432	ahpD	1.11.1.15		Alkyl hydroperoxide reductase AhpD
Sample_Maccabi_Ecoli_SeqPlate10_A3_00019	CDS	246	nrdH		COG0695	Glutaredoxin-like protein NrdH
Sample_Maccabi_Ecoli_SeqPlate10_A3_00020	CDS	402	nrdI		COG1780	Protein NrdI
Sample_Maccabi_Ecoli_SeqPlate10_A3_00021	CDS	2145	I4L_1	1.17.4.1		Ribonucleoside-diphosphate reductase large subunit
Sample_Maccabi_Ecoli_SeqPlate10_A3_00022	CDS	960	bnrdF	1.17.4.1		Ribonucleoside-diphosphate reductase subunit beta
Sample_Maccabi_Ecoli_SeqPlate10_A3_00023	CDS	1203	proV		COG4175	Glycine betaine/proline betaine transport system ATP-binding protein ProV
Sample_Maccabi_Ecoli_SeqPlate10_A3_00024	CDS	1065	proW		COG4176	Glycine betaine/proline betaine transport system permease protein ProW
Sample_Maccabi_Ecoli_SeqPlate10_A3_00025	CDS	993	proX		COG2113	Glycine betaine/proline betaine-binding periplasmic protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00026	CDS	1185				putative transporter
Sample_Maccabi_Ecoli_SeqPlate10_A3_00027	CDS	738	ygaZ		COG1296	Inner membrane protein YgaZ
Sample_Maccabi_Ecoli_SeqPlate10_A3_00028	CDS	336				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00029	CDS	531	mprA_1		COG1846	Transcriptional repressor MprA
Sample_Maccabi_Ecoli_SeqPlate10_A3_00030	CDS	1173	emrA		COG1566	Multidrug export protein EmrA
Sample_Maccabi_Ecoli_SeqPlate10_A3_00031	CDS	1539	emrB			Multidrug export protein EmrB
Sample_Maccabi_Ecoli_SeqPlate10_A3_00032	CDS	516	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00033	CDS	1557	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
Sample_Maccabi_Ecoli_SeqPlate10_A3_00034	CDS	429	yqaA		COG1238	Inner membrane protein YqaA
Sample_Maccabi_Ecoli_SeqPlate10_A3_00035	CDS	567	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
Sample_Maccabi_Ecoli_SeqPlate10_A3_00036	tRNA	77				tRNA-Arg(acg)
Sample_Maccabi_Ecoli_SeqPlate10_A3_00037	tRNA	77				tRNA-Arg(acg)
Sample_Maccabi_Ecoli_SeqPlate10_A3_00038	tRNA	77				tRNA-Arg(acg)
Sample_Maccabi_Ecoli_SeqPlate10_A3_00039	tRNA	72				tRNA-Arg(tcg)
Sample_Maccabi_Ecoli_SeqPlate10_A3_00040	tRNA	77				tRNA-Arg(acg)
Sample_Maccabi_Ecoli_SeqPlate10_A3_00041	tRNA	93				tRNA-Ser(gct)
Sample_Maccabi_Ecoli_SeqPlate10_A3_00042	CDS	90				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A3_00043	CDS	186	csrA		COG1551	Carbon storage regulator
